jg11876.t1	GO:0016670
jg11876.t1	GO:0030328
jg11876.t1	GO:0055114
jg11879.t1	GO:0042981
jg11880.t1	GO:0005634
jg11880.t1	GO:0008270
jg11881.t1	GO:0006364
jg11881.t1	GO:0030688
jg11883.t1	GO:0016021
jg11886.t1	GO:0005524
jg11886.t1	GO:0016020
jg11886.t1	GO:0042626
jg11900.t1	GO:0046983
jg11901.t1	GO:0005216
jg11901.t1	GO:0006811
jg11901.t1	GO:0016020
jg11901.t1	GO:0055085
jg11911.t1	GO:0005549
jg11912.t1	GO:0005549
jg11913.t1	GO:0035556
jg11914.t1	GO:0008168
jg11915.t1	GO:0000226
jg11915.t1	GO:0015630
jg11919.t1	GO:0016747
jg11926.t1	GO:0003677
jg11926.t1	GO:0046983
jg11926.t2	GO:0003677
jg11926.t2	GO:0046983
jg11927.t1	GO:0005874
jg11927.t1	GO:0019799
jg11927.t1	GO:0071929
jg11928.t1	GO:0005874
jg11928.t1	GO:0019799
jg11928.t1	GO:0071929
jg11929.t1	GO:0005874
jg11929.t1	GO:0019799
jg11929.t1	GO:0071929
jg1193.t1	GO:0046983
jg11930.t1	GO:0005874
jg11930.t1	GO:0019799
jg11930.t1	GO:0071929
jg11932.t1	GO:0005096
jg11934.t1	GO:0006629
jg11937.t1	GO:0003824
jg11941.t1	GO:0005515
jg11950.t1	GO:0046983
jg11951.t1	GO:0020037
jg11952.t1	GO:0004383
jg11952.t1	GO:0006182
jg11952.t1	GO:0009190
jg11952.t1	GO:0020037
jg11952.t1	GO:0035556
jg1196.t1	GO:0008194
jg11966.t1	GO:0003723
jg11967.t1	GO:0005885
jg11967.t1	GO:0015629
jg11967.t1	GO:0030041
jg11967.t1	GO:0034314
jg11968.t1	GO:0005515
jg11971.t1	GO:0005509
jg11971.t1	GO:0007156
jg11971.t1	GO:0016020
jg11972.t1	GO:0005509
jg11972.t1	GO:0007156
jg11972.t1	GO:0016020
jg11974.t1	GO:0005509
jg11974.t1	GO:0007156
jg11974.t1	GO:0016020
jg11986.t1	GO:0005515
jg11987.t1	GO:0005515
jg11989.t1	GO:0030431
jg11989.t1	GO:0032222
jg11989.t1	GO:1903818
jg11991.t1	GO:0005737
jg11991.t1	GO:0006511
jg11991.t1	GO:0007275
jg11993.t1	GO:0000062
jg11993.t2	GO:0000062
jg11994.t1	GO:0005515
jg12000.t1	GO:0004553
jg12000.t1	GO:0005975
jg12002.t1	GO:0042626
jg12003.t1	GO:0000077
jg12003.t1	GO:0030896
jg12005.t1	GO:0016255
jg12005.t1	GO:0042765
jg12006.t1	GO:0003824
jg12011.t1	GO:0003723
jg12011.t1	GO:0006396
jg12012.t1	GO:0003723
jg12012.t1	GO:0006396
jg12013.t1	GO:0008080
jg12022.t1	GO:0003676
jg12027.t1	GO:0000413
jg12027.t1	GO:0003755
jg12027.t1	GO:0005515
jg12028.t1	GO:0005515
jg12030.t1	GO:0005856
jg12031.t1	GO:0006629
jg12031.t1	GO:0016627
jg12035.t1	GO:0046983
jg12037.t1	GO:0003677
jg12042.t1	GO:0003677
jg12043.t1	GO:0046872
jg12044.t1	GO:0003700
jg12044.t1	GO:0005634
jg12044.t1	GO:0006355
jg12047.t1	GO:0003676
jg12048.t1	GO:0004623
jg12048.t1	GO:0006644
jg12048.t1	GO:0050482
jg1205.t1	GO:0015074
jg12050.t1	GO:0046983
jg12052.t1	GO:0005515
jg12056.t1	GO:0006904
jg12056.t1	GO:0016192
jg1206.t1	GO:0006508
jg1206.t1	GO:0008234
jg12063.t1	GO:0003723
jg12063.t1	GO:0006396
jg12063.t1	GO:0008173
jg12066.t1	GO:0000166
jg12066.t1	GO:0004812
jg12066.t1	GO:0005524
jg12066.t1	GO:0006418
jg12072.t1	GO:0005524
jg12073.t1	GO:0005524
jg12073.t1	GO:0016020
jg12075.t1	GO:0032040
jg12079.t1	GO:0003352
jg12084.t1	GO:0003352
jg12085.t1	GO:0004672
jg12085.t1	GO:0005524
jg12085.t1	GO:0006468
jg12091.t1	GO:0005515
jg12098.t1	GO:0004672
jg12098.t1	GO:0005515
jg12098.t1	GO:0006468
jg12101.t1	GO:0007218
jg12101.t1	GO:0030141
jg12104.t1	GO:0002161
jg12104.t1	GO:0005737
jg12104.t1	GO:0051499
jg12108.t1	GO:0004672
jg12108.t1	GO:0005524
jg12108.t1	GO:0006468
